Sub-County,Total*,per cent,Male,per cent,Female,per cent
KENYA,"9,869,962",22.6,"5,408,981",25.1,"4,460,639",20.1
Rural*,"4,139,595",13.7,"2,404,991",16.1,"1,734,502",11.3
Urban*,"5,730,367",42.5,"3,003,990",45.3,"2,726,137",39.8
MOMBASA,"431,327",39.2,"232,526",42.1,"198,792",36.3
CHANGAMWE,"48,368",39.9,"27,252",43.1,"21,116",36.3
JOMVU,"48,246",32.2,"27,583",36.3,"20,662",28.0
KISAUNI,"93,781",35.6,"50,503",38.4,"43,275",32.7
LIKONI,"75,298",33.0,"43,018",37.2,"32,279",28.6
MVITA,"76,664",55.2,"37,260",56.0,"39,404",54.5
NYALI,"88,970",44.9,"46,910",47.1,"42,056",42.8
KWALE,"97,240",12.4,"57,487",15.0,"39,749",9.9
KINANGO,"5,279",6.2,"3,195",7.9,"2,084",4.7
LUNGALUNGA,"12,948",7.2,"8,218",9.4,"4,730",5.1
MATUGA,"23,507",13.2,"13,660",15.6,"9,847",10.9
MSAMBWENI,"40,774",25.5,"23,161",28.9,"17,610",22.1
SAMBURU,"14,732",8.1,"9,253",10.7,"5,478",5.8
KILIFI,"200,190",15.1,"118,420",18.6,"81,770",11.9
CHONYI,"3,965",6.9,"2,642",9.8,"1,323",4.4
GANZE,"8,884",6.8,"5,497",9.1,"3,387",4.8
KALOLENI,"20,300",11.5,"12,198",14.5,"8,102",8.7
KAUMA,"1,289",6.2,846,8.4,443,4.1
KILIFI NORTH,"32,694",20.1,"19,053",24.2,"13,641",16.2
KILIFI SOUTH,"41,751",22.2,"23,511",25.6,"18,240",19.0
MAGARINI,"14,916",8.5,"9,722",11.5,"5,194",5.8
MALINDI,"62,682",20.8,"36,360",24.8,"26,322",17.0
RABAI,"13,709",12.3,"8,591",16.0,"5,118",8.9
TANA RIVER,"25,256",8.9,"16,523",11.6,"8,733",6.1
TANA DELTA,"8,398",8.4,"5,557",11.1,"2,841",5.7
TANA NORTH,"8,825",8.4,"5,795",10.9,"3,030",5.8
TANA RIVER,"8,033",10.1,"5,171",13.3,"2,862",7.1
LAMU,"25,473",19.4,"16,171",23.4,"9,301",15.0
LAMU EAST,"3,385",16.4,"2,232",20.7,"1,153",11.7
LAMU WEST,"22,088",20.0,"13,939",23.9,"8,148",15.7
TAITA/TAVETA,"74,588",23.9,"42,034",26.6,"32,553",21.1
MWATATE,"15,742",20.7,"9,222",23.8,"6,520",17.4
TAITA,"11,713",22.4,"6,617",25.0,"5,096",19.7
TAVETA,"17,693",21.4,"10,116",23.8,"7,577",18.8
VOI,"29,440",29.0,"16,079",31.8,"13,360",26.3
GARISSA,"94,786",12.2,"56,148",13.2,"38,634",11.0
BALAMBALA,"2,737",8.9,"1,845",9.5,891,7.8
DADAAB,"17,569",10.2,"10,186",11.1,"7,382",9.2
FAFI,"9,641",7.8,"5,633",8.4,"4,008",7.1
GARISSA,"28,763",19.3,"16,129",21.4,"12,632",17.2
