Region,Sq. Km
KENYA,"580,895.40"
MOMBASA,219.9
CHANGAMWE,17.7
CHANGAMWE,17.7
CHAANI,3.9
CHAANI,3.9
CHANGAMWE,3.8
CHANGAMWE,0.3
KHAMISI,3.5
KWA HOLA,0.6
KWA HOLA,0.6
PORT REITZ,9.4
PORT REITZ,9.4
JOMVU,36.9
JOMVU,36.9
MIKINDANI,5.9
BIRIKANI,2.2
KWA SHEE,3.7
MIRITINI,31
JOMVU KUU,20.9
MIRITINI,10.1
KISAUNI,87.7
BAMBURI,73.6
BAMBURI,73.6
BAMBURI,13.4
MAUNGUJA,9.1
MWAKIRUNGE,32.4
MWEMBE LEGEZA,12
SHANZU,6.7
KISAUNI,14.2
KISAUNI,14.2
JUNDA,7.4
MAGOGONI,6.8
LIKONI,40.5
LIKONI,9.3
LIKONI,9.3
BOFU,1.5
LIKONI,1.1
TIMBWANI,6.7
LONGO,31.2
MTONGWE,23.2
MTONGWE,23.2
SHIKAADABU,8
VIJIWENI,5.4
VYEMANI,2.6
MVITA,14.6
ISLAND,14.6
GANJONI,4.4
GANJONI,4.4
MAJENGO,1.4
MAJENGO,1.4
MWEMBE TAYARI,0.6
MWEMBE TAYARI,0.6
OLD TOWN,0.9
OLD TOWN,0.9
RAILWAY,3.3
RAILWAY,3.3
TONONOKA,1.5
TONONOKA,1
BONDENI,0.5
TUDOR,2.5
TUDOR,2.5
NYALI,22.5
FRERE TOWN,8.1
FRERE TOWN,2.3
FRERE TOWN,1.4
MLA LEO,0.9
KADZANDANI,5.7
MBUNGONI,1.1
MWATAMBA,4.7
KONGOWEA,14.5
KONGOWEA,8.3
KONGOWEA,1.5
MKOMANI,6.8
MAWENI,6.1
MAWENI,2
ZIWA LA NG'OMBE,4.2
KWALE,"8,253.70"
KINANGO,"1,612.20"
KINANGO,"1,095.90"
KINANGO,202
DUMBULE,73.4
KIBANDAONGO,90.4
KINANGO,38.3
PUMA,126.3
MAZOLA,126.3
VIGURUNGANI,767.5
BUSA,548.8
VIGURUNGANI,218.7
NDAVAYA,516.4
NDAVAYA,516.4
GULANZE,53.7
KIFYONZO,127.9
MWANDIMU,268.4
NDAVAYA,66.4
LUNGA LUNGA,"2,765.20"
LUNGA LUNGA,"2,611.60"
DZOMBO,220.1
MRIMA MALAMBA,220.1
KASEMENI,"1,339.10"
KASEMENI,"1,258.50"
PANGANI,80.5
KIKONENI,125.7
BUMBANI,125.7
LUNGA LUNGA,121.6
PERANI,48.4
SEGA,73.2
MWENA,126.7
MANDA,55.3
MWENA,71.5
MWERENI,563.6
BIDINIMOLE,332.3
KILIMANGODO,231.3
VANGA,114.9
JEGO,38.9
KIWEGU,70.6
VANGA,5.5
PONGWE KIKONENI,153.6
PONGWE KIDIMU,132.9
MAJORENI,60.4
MZIZIMA,72.5
SHIMONI,20.7
SHIMONI,16.6
WASINI/MKWIRO,4.1
MATUGA,"1,034.20"
KUBO,479.1
LUKORE,23
LUKORE,23
MAJIMBONI,92.6
BOYANI,15.6
KIPAMBANI,12.3
MAJIMBONI,18.9
MAKOBE,15.5
MSULWA,20.1
SHIMBA HILLS,10.1
MANGAWANI,52.8
MANGAWANI,52.8
MKONGANI,130.3
MKOMBA,30.1
MTSAMVIANI,55.1
TIRIBE,45.1
MWALUPHAMBA,137.6
KIZIBE,57.1
MLAFYENI,80.4
MWALUVANGA,42.9
MANYATTA,23.4
MWALUVANGA,19.5
MATUGA,338.6
GOLINI,55.7
GOLINI,55.7
MBUGUNI,53.1
MBUGUNI,53.1
NG'OMBENI,45.9
KITEJE,18.8
NG'OMBENI,19.4
PUNGU,7.6
TIWI,51.4
MKOYO,11
SIMKUMBE,40.3
TSIMBA,75
KUNDUTSI,38.3
MAZUMALUME,36.7
WAA,57.6
KITIVO,15.9
KOMBANI,8.9
MATUGA,32.8
SHIMBA HILLS NAT. RESERVE,216.5
SHIMBA HILLS NAT. RESERVE,216.5
SHIMBA HILLS NAT. RESERVE,216.5
MSAMBWENI,411.7
DIANI,220.6
DIANI,74.8
BONGWE,34.5
GOMBATO,14.8
UKUNDA,25.5
KINONDO,145.8
GAZI,58.3
KINONDO,87.4
MSAMBWENI,191.2
KINGWEDE/SHIRAZI,47.3
FUNZI,10
KINGWEDE,9.9
SHIRAZI,27.4
MIVUMONI,113.5
MIVUMONI,113.5
MSAMBWENI,30.4
MILALANI,14.1
VINGUJINI,16.3
SAMBURU,"2,430.30"
KASEMENI,611.7
GANDINI,98
GANDINI,98
KASEMENI,79.5
CHIGATO,17.4
MAZERAS,16.1
MNYENZENI,29.2
MWAMDUDU,16.8
MTAA,151
BOFU,53.4
MABESHENI,24.3
MTAA,73.3
MWATATE,126.7
MATUMBI,80.6
MWATATE,46.2
MWAVUMBO,156.5
KALALANI,57.5
MWABILA,99
SAMBURU,"1,818.50"
CHENGONI,435.2
CHENGONI,149.6
MAJI YA CHUMVI,46
SILALONI,239.6
MACKNON ROAD,407.8
KILIBASI,182.8
MACKINNON ROAD,225
MAKAMINI,142.6
CHIGUTU,66.6
MAKAMINI,76
SAMBURU,312.9
KINAGONI,183.6
MATOPE,129.3
TARU,337.2
DUPHARO,337.2
VINYUNDUNI,182.8
DZIVANI,62
VINYUNDUNI,120.9
KILIFI,"12,553.30"
CHONYI,192.6
CHONYI,192.6
BANDA RA SALAMA,45.8
MWEMBEKATI,16.6
PINGILIKANI,29.3
CHASIMBA,72.4
CHASIMBA,13.7
KITSOENI,28.5
MWAKAMBI,30.3
MWARAKAYA,42.7
KIZINGO,17.6
MWARAKAYA,25.1
ZIANI,31.7
NG'OMBENI,19.8
ZIANI,11.9
GANZE,"3,217.90"
BAMBA,"1,711.70"
BAMBA,107
CHAPUNGU,33.2
MARYANGO,37.8
MWAKWALA,22
PAZIANI,14.1
BANDARI,114.4
KARIMANI,38.8
KIDEMU,22.1
MIKAMINI,39.8
MITSEMERINI,13.7
MITANGANI,"1,093.90"
DANGARANI,78.7
GEDE,665.3
GOSHI,156.5
MIDOINA,104
MIGUJINI,55.3
MNAGONI,34.1
MTSARA WA TSATSU,121.6
CHIRA,30.5
KERESA,27.4
NAMBANI,38.1
WACHO,25.5
NDIGIRIA,274.7
MIRIHINI,46.4
MWAMBANI,134.9
NDIGIRIA/MAPOTEA,93.5
GANZE,326.8
DUNGICHA,84.8
DUNGICHA/MUHONI,43.3
MWEZA/MIGODOMANI,41.5
GANZE,107.2
PETANGUO,39.7
TSANGALAWENI/GANZE,67.5
PALAKUMI,134.8
MARIANI/VITSAPUNI,56.5
PALAKUMI/MIGUMOMIRI,78.3
VITENGENI,774.2
DIDA,47.3
DIDA,47.3
MRIMA WA NDEGE,248.4
DULUKIZA,64.2
MILORE,149
MRIMA WA NDEGE,35.2
MWAHERA,213.3
DZIKUNZE,18.8
KAEMBENI,23.9
MWAHERA,24.5
MWANGEA,89.3
NDUGUMNANI,56.8
SOKOKE,102.7
KACHORORONI,16.1
MAGOGONI,48
NYARI,22.5
RARE,16.2
VITENGENI,162.5
MADAMANI,46.6
MITSEDZINI,53.3
VITENGENI,62.5
ARABUKO SOKOKE FOREST,405.1
ARABUKO SOKOKE FOREST,405.1
ARABUKO SOKOKE FOREST,405.1
KALOLENI,706.1
KALOLENI,121.7
CHANAGANDE,44.5
BIRINI/MWAMLEKA,14.4
CHALANI/MIHINGONI,12.9
MIKIRIANI,17.2
JIBANA,38.5
CHILULU,7.7
KWALE,9.7
NYALANI,9.3
TSAGWA,11.8
KALOLENI,38.7
KALOLENI/VISHAKANI,25.3
KINANI/MAKOMBOANI,13.3
MARIAKANI,278.1
MARIAKANI,118.3
KAWALA/KADZONZO,44.4
MARIAKANI/MITANGONI,73.8
TSANGATSINI,159.8
MNYENZENI,40.9
TSANGATSINI,118.9
MWANAMWINGA,306.4
KAYAFUNGO,79.5
MBALAMWENI,53
MRIMANI,26.5
KINAGONI,49
KINAGONI,24.3
MIYANI,24.7
MWANAMWINGA,177.9
KIBWABWANI,25
KITHENGWANI,75.4
VIRAGONI,77.4
KAUMA,181.4
JARIBUNI,181.4
JARIBUNI,76.4
CHIVARA,18.6
MARERE,16.6
MWAPULA,41.2
KAUMA,82
MAGOGONI/MATOLANI,21
MDANGARANI,19.3
MSANDA,23.6
VINAGONI,18.1
VYAMBANI,22.9
NGAMANI,13.5
VYAMBANI,9.4
KILIFI NORTH,264.4
BAHARI,264.4
MATSANGONI,41.2
MATSANGONI,13.1
MKONGANI,11.9
UYOMBO,16.3
NGERENYA,46.5
EZAMOYO,12.6
NGERENYA,15.5
ZOWERANI,18.5
ROKA,51.3
CHUMANI,27
ROKA,24.3
TEZO,57.4
KIBARANI,18.2
MAJAONI/MTONDIA,39.2
TOWNSHIP,68
HOSPITAL,11.6
KONJORA,39.3
MNARANI,16
SOKONI,1.1
KILIFI SOUTH,290.5
KIKAMBALA,290.5
JUNJU,114.9
JUNJU,44.3
KURUWITU,24.6
VIPINGO,46
MAVUENI/TAKAUNGU,97
KIRIBA/WANGWANI,21
MAVUENI/MAJAJANI,24.6
MKOMANI/MKWAJUNI,35.5
TAKAUNGU,15.9
MTWAPA,78.5
KANAMAI,14.8
KIDUTANI-MAWAMBA,31
KIJIPWA,13.8
SHIMO LA TEWA,18.9
MAGARINI,"5,229.40"
MAGARINI,755.6
FUNDI ISSA,386.6
FUNDI ISSA,130.1
MARERENI,256.6
GONGONI,145.8
GONGONI,70.7
NGOMENI,31.3
SHOMELA,43.8
MAGARINI,223.2
BOMANI,65.1
MAMBRUI,43.4
MARIKEBUNI,43.1
PUMWANI,71.6
MARAFA,"4,473.80"
ADU,"2,065.40"
ADU,459.7
KADZANDANI,45.1
KAMALE,"1,456.10"
RAMADA,104.6
BUNGALE,"1,469.10"
BARICHO,67.6
DAKACHA,"1,268.20"
GANDINI,24.6
WAKALA,108.8
CHAMARI,531.3
CHAMARI,531.3
DAGAMRA,82.9
BATE,18.5
BURA,47.8
KAYA,16.7
GARASHI,91.9
MASINDENI,11.5
MIKUYUNI,16
SINGWAYA,64.5
MARAFA,233.1
BORE,85.2
MADINA,91.3
MAMBASA,56.5
MALINDI,"2,263.30"
LANGOBAYA,"1,912.80"
CHAKAMA,"1,642.90"
KISIKI CHA WAGIRIAMA,295.7
MAKONGENI,"1,224.80"
MATOLANI,122.4
JILORE,94.2
GIRIMACHA,26.8
JILORE,26.3
KAKONENI,41.1
LANGOBAYA,175.6
LANGOBAYA,45.6
MAKOBENI,55.5
MALANGA,34.8
MKONDONI,39.8
MALINDI,350.5
GANDA,38.6
GANDA,9.5
MERE,14.2
MSABAHA,14.9
GEDE,72.2
DABASO,24.5
MIDA MAJAONI,15.1
MIJOMBONI,18.6
MKENGE,14
GOSHI,90.8
KAKUYUNI,18.8
MADUNGUNI,6.5
MALIMO,34.6
MONGOTINI,15.9
PAZIANI,15.1
MALINDI,90.7
BARANI,11.4
CENTRAL,9.7
KIJIWETANGA,20.6
SABAKI,33.8
SHELLA,15.3
WATAMU,58.1
CHEMBE KIBABAMCHE,21.7
JIMBA,20.3
MrgOBARAKA CHEMBE,13.1
WATAMU,3.1
RABAI,207.8
KAMBE/RIBE,63.6
KAMBE,10.8
MBWAKA/KIKOMANI,10.8
PANGANI/MAERENI,24.3
PANGANI/MAERENI,24.3
RIBE,28.6
CHAURINGO,6.6
KINUNGUNA/FORODHANI,22
MWAWESA,84.3
MIKAHANI,9.8
MIKAHANI,9.8
MWAWESA,28.5
BWAGAMOYO,17.6
CHANG'OMBE,8.9
MWAMTSUNGA,2
RURUMA,46.1
JIMBA,16
MIKOMANI,7.4
MIYUNI,7
MLEJI,15.7
RABAI,59.8
RABAI,59.8
BUNI KISIMANI,21.2
KALIANGOMBE,17.3
MGUMO WA PATSA,10.3
MWELE KISURUTINI,11.1
TANA RIVER,"37,903.60"
TANA DELTA,"15,431.80"
GARSEN,"13,964.70"
ASSA,"4,675.30"
ASSA,"3,812.50"
ONJILA,862.7
BILISA,337.9
CHIRA,133.7
GARSEN,204.1
GALILI,160.6
DANISA,46.8
DUMI,49.1
GALILI,64.8
GALMA,336.2
ABAGANDA,140.4
SERA,195.8
KONE,"7,172.70"
KONE,"7,172.70"
MWINA,132.6
BENDERANI,59.9
MIKAMENI,72.7
NDERA,559.3
BAHATI,271.7
BAOMO,260.4
MNAZINI,27.2
SALAMA,308
MAZIWA,266.5
WEMA,41.6
SHIRIKISHO,282
DALU,153.5
IDSOWE,128.5
KIPINI,412.7
KILELENGWANI,100.4
KAU,71.2
KILELENGWANI,29.2
KIPINI,213.9
KIPINI,41.8
MATANGENI,172.1
OZI,98.4
OZI,64.8
MPEKETONI,33.5
TARASAA,"1,054.50"
CHARA,148.6
CHAMWANAMUMA,99.5
SEMIKARO,49.1
KIPAO,106.3
KIPAO,56.8
ONGONYO,49.5
KONEMANSA,131.6
KIKOMO,101.5
ODOLE,30.1
NGAO,321.6
GOLBANTI,16.3
NGAO,21.7
TARASAA,283.6
WACHU ODA,346.4
BURA KOFIRA,12.7
HANDARAKU,43
KURAWA,244
ODA,46.6
TANA NORTH,"13,304.70"
BURA,"5,267.80"
BURA,277.8
BISADI,119.7
BISIKDERA,109.2
METI,48.8
CHEWELE,"1,483.30"
BILBIL,"1,271.50"
CHEWELE,97.1
WADESA,114.7
DUKANOTU,425.1
CHARIDENDE,222.7
DUKANOTU,202.4
HIRIMANI,"1,000.20"
HIRIMANI,698.2
WALESOREA,302
HOSINGO,313.5
HALO,132
WALESTOKOCHA,181.5
NANIGHI,322.1
BAWAMA,197.8
NANIGHI,124.4
SABUKIA,"1,445.70"
KANIKI,860.9
